old_url,new_url
https://the-tartan.org/wp-content/uploads/2023/11/IMG_2163.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135303/IMG_2163.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_3169-1024x683.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135305/IMG_3169-1024x683.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_3169.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135306/IMG_3169.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5229-1024x768.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135312/IMG_5229-1024x768.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5229.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135313/IMG_5229.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5237-1024x768.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135314/IMG_5237-1024x768.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5237.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135315/IMG_5237.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5245-1024x768.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135316/IMG_5245-1024x768.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5245.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135317/IMG_5245.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5246-1024x768.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135319/IMG_5246-1024x768.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5246.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135320/IMG_5246.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5256-1024x768.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135321/IMG_5256-1024x768.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_5256.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135322/IMG_5256.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_6895.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135323/IMG_6895.jpg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_7904-768x1024.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135325/IMG_7904-768x1024.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_7904.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135326/IMG_7904.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_8540-1024x768.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135328/IMG_8540-1024x768.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_8540.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135329/IMG_8540.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_8657-1.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135330/IMG_8657-1.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_8657-768x1024.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135337/IMG_8657-768x1024.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/IMG_8657.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135338/IMG_8657.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/P1022682-683x1024.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135340/P1022682-683x1024.jpg
https://the-tartan.org/wp-content/uploads/2023/11/P1022682.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135341/P1022682.jpg
https://the-tartan.org/wp-content/uploads/2023/11/P1022917-683x1024.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135342/P1022917-683x1024.jpg
https://the-tartan.org/wp-content/uploads/2023/11/P1022917.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135343/P1022917.jpg
https://the-tartan.org/wp-content/uploads/2023/11/P1022956-683x1024.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135345/P1022956-683x1024.jpg
https://the-tartan.org/wp-content/uploads/2023/11/P1022956.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135346/P1022956.jpg
https://the-tartan.org/wp-content/uploads/2023/11/Scan-4-copy.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135347/Scan-4-copy.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/Scan-5-1.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135348/Scan-5-1.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/Snapseed-1-1024x768.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135349/Snapseed-1-1024x768.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/Snapseed-1.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135350/Snapseed-1.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/Snapseed-2-683x1024.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135352/Snapseed-2-683x1024.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/Snapseed-2.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135353/Snapseed-2.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/daylight-savings-comic-600x1024.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135354/daylight-savings-comic-600x1024.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/daylight-savings-comic.jpeg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135355/daylight-savings-comic.jpeg
https://the-tartan.org/wp-content/uploads/2023/11/sound-bath-by-lily-van-veen-1.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135402/sound-bath-by-lily-van-veen-1.jpg
https://the-tartan.org/wp-content/uploads/2023/11/sound-bath-by-lily-van-veen-1024x631.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135403/sound-bath-by-lily-van-veen-1024x631.jpg
https://the-tartan.org/wp-content/uploads/2023/11/sound-bath-by-lily-van-veen.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/11/13135404/sound-bath-by-lily-van-veen.jpg
https://the-tartan.org/wp-content/uploads/2023/12/12.2sambates-960x1024.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135407/12.2sambates-960x1024.png
https://the-tartan.org/wp-content/uploads/2023/12/12.2sambates.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135409/12.2sambates.png
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0208-1-1024x537.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135412/IMG_0208-1-1024x537.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0208-1.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135413/IMG_0208-1.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0208-1024x537.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135415/IMG_0208-1024x537.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0208.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135417/IMG_0208.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0328-683x1024.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135419/IMG_0328-683x1024.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0328.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135420/IMG_0328.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0339-1024x683.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135425/IMG_0339-1024x683.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0339.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135431/IMG_0339.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0399-623x1024.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135433/IMG_0399-623x1024.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_0399.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135434/IMG_0399.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9581-1024x707.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135436/IMG_9581-1024x707.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9581.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135437/IMG_9581.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9809-1024x683.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135440/IMG_9809-1024x683.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9809.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135441/IMG_9809.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9943-1024x683.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135444/IMG_9943-1024x683.jpg
https://the-tartan.org/wp-content/uploads/2023/12/IMG_9943.jpg,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135445/IMG_9943.jpg
https://the-tartan.org/wp-content/uploads/2023/12/Picsart_23-12-10_13-58-21-290-1024x957.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135449/Picsart_23-12-10_13-58-21-290-1024x957.png
https://the-tartan.org/wp-content/uploads/2023/12/Picsart_23-12-10_13-58-21-290.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135450/Picsart_23-12-10_13-58-21-290.png
https://the-tartan.org/wp-content/uploads/2023/12/SAMCOMICLASTISSUE-778x1024.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135459/SAMCOMICLASTISSUE-778x1024.png
https://the-tartan.org/wp-content/uploads/2023/12/SAMCOMICLASTISSUE.png,https://thetartan-assets.s3.amazonaws.com/assets/2023/12/13135501/SAMCOMICLASTISSUE.png
